X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,17,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.024546146392822266,7.985495914423276,0.6281022590935377
lorenz_0.npy,lorenz_2.npy,1,17,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.021345138549804688,7.087165025617309,0.690530094812414
lorenz_0.npy,lorenz_2.npy,1,17,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.0184023380279541,7.838412200857621,0.6333260070312219
lorenz_0.npy,lorenz_2.npy,1,17,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.020322322845458984,8.460933837558647,0.46220929998948834
lorenz_0.npy,lorenz_2.npy,1,17,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.019626140594482422,8.147719635246284,0.6901497889785714
lorenz_0.npy,lorenz_2.npy,1,17,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.06909632682800293,8.460071074062911,0.6907571562706417
lorenz_0.npy,lorenz_2.npy,1,17,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.019916534423828125,8.682149782239366,0.6372576043709886
lorenz_0.npy,lorenz_2.npy,1,17,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.01606607437133789,6.66970987694708,0.6770547206135252
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.0202486515045166,9.939764601052483,0.3954159950173541
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.02992701530456543,10.177475110090576,0.37238062030150304
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.02073526382446289,10.488257084438306,0.31179658305802116
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.021354198455810547,10.85221541703065,0.36582815646053235
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.017369747161865234,9.689195288881923,0.5436294551567753
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.06606459617614746,9.341823271150698,0.5351014561134224
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.02910161018371582,9.814834256354214,0.4628064747243693
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.01820993423461914,8.337343992350034,0.5415557487466865
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.019513607025146484,10.219681913118526,0.4718907015940871
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.028851032257080078,9.691174899288898,0.4894160500655339
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.021144390106201172,10.147840318906232,0.4237607254620297
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.02187824249267578,7.884002049373909,0.5851684891172928
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.024790287017822266,9.05037830288271,0.3554800954596351
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.02445387840270996,9.49826270251622,0.44779242667088004
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.025722742080688477,9.312703050076724,0.4184390264218809
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.0281679630279541,9.641178459663857,0.474290219437067
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.09894180297851562,9.811357942712272,0.42050472134264505
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.02135157585144043,8.892308691699803,0.4210692421902896
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.017629384994506836,9.042975129744862,0.5655413559577688
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.016221046447753906,8.916877482838851,0.5602009502329295
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.0233612060546875,9.900306477871203,0.3625028564534814
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.02238297462463379,9.088862246514601,0.4040636226493486
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.020750045776367188,10.434078743796075,0.4260182123183722
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.019374847412109375,9.778782640815672,0.4137222735522896
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.01766037940979004,10.494166665531923,0.32097608718365145
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.020572662353515625,7.661776320780794,0.47069438654209783
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.018985509872436523,8.967246819249945,0.5764378338547786
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.033545494079589844,9.631949565801321,0.5034436934642808
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,3,2,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.01481175422668457,9.680303678700096,0.413764888918868
lorenz_0.npy,lorenz_2.npy,1,3,2,0,1000,-1,1000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,200,0.017185211181640625,10.087337741038974,0.25621927197581373
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,1,voronoi,none,False,200,3.5,True,False,False,200,0.01949024200439453,8.233436108143342,0.44286143636160774
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,1,voronoi,none,False,200,3.5,True,False,False,200,0.021202802658081055,7.326995539758525,0.6208877204935879
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,0.1,voronoi,none,False,200,3.5,True,False,False,200,0.017609357833862305,7.067038856396557,0.4788521537758017
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,0.1,voronoi,none,False,200,3.5,True,False,False,200,0.01608896255493164,7.1284914049560575,0.5701955184153773
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,0.001,voronoi,none,False,200,3.5,True,False,False,200,0.01729583740234375,6.797365509589001,0.5993092093398702
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,0.001,voronoi,none,False,200,3.5,True,False,False,200,0.020754098892211914,6.739433495479529,0.6627214132572847
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,0.001,voronoi,linear,False,200,3.5,True,False,False,200,0.03632235527038574,3.669040966734474,0.7488831265993128
lorenz_0.npy,lorenz_2.npy,1,3,3,0,1000,-1,1000,1000,-1,0.001,voronoi,linear,False,200,3.5,True,False,False,200,0.02873849868774414,3.8376211480590894,0.7711976985045126
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
chen_0.npy,chen_2.npy,1,10,3,0,1000,-1,1000,1000,-1,0.001,voronoi,linear,False,200,3.5,True,False,False,200,0.025496721267700195,16028.428741088283,0.9250610550582938
chen_0.npy,chen_2.npy,1,10,3,0,1000,-1,1000,1000,-1,0.001,voronoi,linear,False,200,3.5,True,False,False,200,0.02759265899658203,15759.903335923778,0.9080077014407112
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,10,3,0,500,-1,500,1000,-1,0.001,voronoi,linear,False,200,3.5,True,False,False,200,0.026994943618774414,13.455913275289415,0.3044146797875361
lorenz_0.npy,lorenz_2.npy,1,10,3,0,500,-1,500,1000,-1,0.001,voronoi,linear,False,200,3.5,True,False,False,200,0.03138256072998047,13.614140661148546,0.3046806756763454
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,2,3,0,500,-1,500,1000,-1,0.001,voronoi,linear,False,200,3.5,True,False,False,200,0.025667190551757812,14.331947110242966,0.3149863443693524
lorenz_0.npy,lorenz_2.npy,1,2,3,0,500,-1,500,1000,-1,0.001,voronoi,linear,False,200,3.5,True,False,False,200,0.02996039390563965,14.46331742498574,0.29584877343256566
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,2,3,0,500,-1,500,1000,-1,0.001,voronoi,none,False,200,3.5,True,False,False,True,200,0.017456531524658203,15.898873910080223,0.2576046500972634
lorenz_0.npy,lorenz_2.npy,1,2,3,0,500,-1,500,1000,-1,0.001,voronoi,none,False,200,3.5,True,False,False,True,200,0.019797563552856445,17.198922339601186,0.2169867742775877
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,17,3,0,9000,-1,9000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,True,200,0.02514338493347168,2.026851764784907,0.9048243388397762
lorenz_0.npy,lorenz_2.npy,1,17,3,0,9000,-1,9000,1000,-1,15,voronoi,none,False,200,3.5,True,False,False,True,200,0.030099153518676758,2.035475893871528,0.9136479999824193
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_2.npy,1,17,3,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,False,True,200,0.02613234519958496,0.5476656350591614,0.9939467297736537
lorenz_0.npy,lorenz_2.npy,1,17,3,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,False,True,200,0.031618356704711914,0.6078391538135278,0.9916632482082814
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_1.npy,1,17,3,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,False,True,200,0.02505803108215332,0.2260833049741696,0.9977462713588667
lorenz_0.npy,lorenz_1.npy,1,17,3,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,False,True,200,0.03126263618469238,0.36018661809885366,0.9946227417781894
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_1.npy,1,17,3,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,False,True,200,0.02435469627380371,0.24756526188755112,0.9971713649013001
lorenz_0.npy,lorenz_1.npy,1,17,3,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,False,True,200,0.027930498123168945,0.3499486136117182,0.9949182774227954
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_1.npy,1,17,3,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,False,True,200,0.02479839324951172,0.35339897506982737,0.9950030268514529
lorenz_0.npy,lorenz_1.npy,1,17,3,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,False,True,200,0.025082111358642578,0.255468029604503,0.9971037464620529
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_1.npy,1,17,2,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,False,True,200,0.025511741638183594,0.25320712605191004,0.9971174111351077
lorenz_0.npy,lorenz_1.npy,1,17,2,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,False,True,200,0.024540424346923828,0.3005241698033287,0.9961800062328194
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_1.npy,1,17,2,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,True,True,200,0.022264719009399414,0.24809974431859086,0.9971698055900876
lorenz_0.npy,lorenz_1.npy,1,17,2,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,True,True,200,0.022740602493286133,0.243886168466917,0.9972733550933701
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_1.npy,1,17,2,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,True,True,200,0.026384353637695312,1.7011232120029494,0.9745149023924016
lorenz_0.npy,lorenz_1.npy,1,17,2,0,9000,-1,9000,1000,-1,1,voronoi,none,False,200,3.5,True,False,True,True,200,0.030684947967529297,1.600618579792079,0.9772362831912524
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_1.npy,1,17,2,0,900,-1,900,1000,-1,1,voronoi,none,False,200,3.5,True,False,True,True,200,0.01864480972290039,5.275898920061168,0.8017342396781186
lorenz_0.npy,lorenz_1.npy,1,17,2,0,900,-1,900,1000,-1,1,voronoi,none,False,200,3.5,True,False,True,True,200,0.01885056495666504,4.830685058645772,0.8509396192805065
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
lorenz_0.npy,lorenz_1.npy,1,17,2,0,900,-1,900,100,-1,1,voronoi,none,False,200,3.5,True,False,True,True,200,0.01837635040283203,0.7712473858244099,0.9665676301365793
lorenz_0.npy,lorenz_1.npy,1,17,2,0,900,-1,900,100,-1,1,voronoi,none,False,200,3.5,True,False,True,True,200,0.022263050079345703,0.9156392646823316,0.9375166069494568
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,visualize_error,visualize_jun,nonempty,time,rmse,pcc
