X,Y,tau,d,training_start,training_end,training_size,testing_start,testing_end,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,nonempty,time,rmse,pcc
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,5,False,138,40.49052667617798,4.694824414405706,0.8521995484559701
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,138,5,False,138,11.676915168762207,2.5283601911117373,0.9591861208246848
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,4,False,200,43.83350372314453,3.2994345271601877,0.9339568784316553
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,200,4,False,200,16.56233835220337,2.2701993589449585,0.9668943309203843
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,3,False,308,47.1737585067749,2.069028302593676,0.9746418681113069
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,308,3,False,308,16.12764620780945,1.7797182063952945,0.9798398182862504
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,2,False,696,46.651756286621094,1.6237680554431018,0.9844961809854753
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,696,2,False,696,14.775272369384766,1.2034555125826105,0.9908175021884418
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,1,False,2617,52.49650979042053,0.7456823458997627,0.9965231016940885
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,2617,1,False,2617,14.850571393966675,0.6626324293853251,0.9972099186880699
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,4.5,False,166,46.40762257575989,3.801868441867117,0.9104254257918012
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,166,4.5,False,166,15.302794694900513,2.3756415741234416,0.9638273619768959
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,3.5,False,240,44.5305495262146,2.3618233696048194,0.9669842702049254
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,240,3.5,False,240,15.213464498519897,1.9775618698770496,0.9752268339846579
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,2.5,False,473,42.926788568496704,2.150608231967793,0.972700832193248
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,473,2.5,False,473,13.256569147109985,1.5034379636904527,0.9857317254111146
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,0.8,False,4142,50.29869484901428,1.1314114134400042,0.991897935450164
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,4142,0.8,False,4142,14.912608861923218,0.5360846342298469,0.9981748320741446
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,0.7,False,5331,56.75667929649353,0.9049787033228294,0.9949002125636819
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,5331,0.7,False,5331,15.23531460762024,0.5114079741426508,0.9983377836797647
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,0.6,False,7277,66.03158521652222,1.191806886578022,0.9909215659316131
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,7277,0.6,False,7277,17.225022315979004,0.4552279232806342,0.9986799955582394
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,0.5,False,10156,121.23093509674072,0.5634597215553788,0.9979965593646164
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,10156,0.5,False,10156,19.663875579833984,0.4173741094888041,0.9988904454502622
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,0.4,False,15982,139.58528113365173,1.417782667244056,0.9872652678812776
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,15982,0.4,False,15982,19.698669910430908,0.4198635520610187,0.9988790285787199
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,0.3,False,28032,258.6855139732361,1.439651821020513,0.9868463469525148
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,28032,0.3,False,28032,22.595828771591187,0.46968104268770466,0.9985989225147964
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,uniform,lin,False,500,0.2,False,61658,618.5995888710022,1.2014077050591652,0.990826227140021
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,10,voronoi,lin,False,61658,0.2,False,61658,28.299325466156006,0.6446730137622788,0.9973647089936493
