X,Y,tau,d,training_start,training_end,training_size,testing_start,testing_end,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,nonempty,time,rmse,pcc
x.npy,z.npy,17,2,0,1000000,1000,5000000,5100000,15,uniform,lin,False,500,7.57229176485005,False,18,1.2773230075836182,4.2891582291743235,0.8961107418505438
x.npy,z.npy,17,2,0,1000000,1000,5000000,5100000,15,voronoi,lin,False,18,7.57229176485005,False,18,1.2408599853515625,4.829249760519421,0.850012912048195
x.npy,z.npy,17,2,0,1000000,1193,5000000,5100000,15,uniform,lin,False,500,7.182327997364613,False,23,1.284276008605957,4.932432342902478,0.858873071746927
x.npy,z.npy,17,2,0,1000000,1193,5000000,5100000,15,voronoi,lin,False,23,7.182327997364613,False,23,0.980459451675415,4.790338200663175,0.8563203047617469
x.npy,z.npy,17,2,0,1000000,1425,5000000,5100000,15,uniform,lin,False,500,6.812446887108177,False,22,1.2549550533294678,4.955113473236071,0.8532089213480306
x.npy,z.npy,17,2,0,1000000,1425,5000000,5100000,15,voronoi,lin,False,22,6.812446887108177,False,22,0.9159126281738281,4.637648565514115,0.8575173688665466
x.npy,z.npy,17,2,0,1000000,1701,5000000,5100000,15,uniform,lin,False,500,6.461614201787876,False,22,1.276686668395996,4.182912787772666,0.8857213142631717
x.npy,z.npy,17,2,0,1000000,1701,5000000,5100000,15,voronoi,lin,False,22,6.461614201787876,False,22,0.8252217769622803,4.006622667870696,0.8988225578201157
x.npy,z.npy,17,2,0,1000000,2030,5000000,5100000,15,uniform,lin,False,500,6.128848970809422,False,27,1.1496248245239258,4.916260731103898,0.8617107487157594
x.npy,z.npy,17,2,0,1000000,2030,5000000,5100000,15,voronoi,lin,False,27,6.128848970809422,False,27,0.8814029693603516,4.126545749112198,0.8903498405825524
x.npy,z.npy,17,2,0,1000000,2424,5000000,5100000,15,uniform,lin,False,500,5.813220742364712,False,33,1.247058391571045,4.0895620795866074,0.8927997155119811
x.npy,z.npy,17,2,0,1000000,2424,5000000,5100000,15,voronoi,lin,False,33,5.813220742364712,False,33,0.8102395534515381,3.618220987762536,0.9145220889574192
x.npy,z.npy,17,2,0,1000000,2894,5000000,5100000,15,uniform,lin,False,500,5.513846981776142,False,34,1.1637918949127197,3.490993008074174,0.9229126604530979
x.npy,z.npy,17,2,0,1000000,2894,5000000,5100000,15,voronoi,lin,False,34,5.513846981776142,False,34,0.8273541927337646,3.5912508270644183,0.9175521145606158
x.npy,z.npy,17,2,0,1000000,3455,5000000,5100000,15,uniform,lin,False,500,5.22989060382295,False,38,1.1803793907165527,4.557873337011205,0.8707966978677375
x.npy,z.npy,17,2,0,1000000,3455,5000000,5100000,15,voronoi,lin,False,38,5.22989060382295,False,38,0.8276379108428955,3.4784752677993462,0.9214532489409551
x.npy,z.npy,17,2,0,1000000,4124,5000000,5100000,15,uniform,lin,False,500,4.960557632149761,False,37,1.14463472366333,4.069945487489039,0.8954199078153695
x.npy,z.npy,17,2,0,1000000,4124,5000000,5100000,15,voronoi,lin,False,37,4.960557632149761,False,37,0.8594303131103516,3.6766601500345133,0.9138608310239986
x.npy,z.npy,17,2,0,1000000,4923,5000000,5100000,15,uniform,lin,False,500,4.70509497921274,False,49,1.1726644039154053,3.9798090802186845,0.8988524739243099
x.npy,z.npy,17,2,0,1000000,4923,5000000,5100000,15,voronoi,lin,False,49,4.70509497921274,False,49,0.8520462512969971,3.3469295951202063,0.9277237037878959
x.npy,z.npy,17,2,0,1000000,5878,5000000,5100000,15,uniform,lin,False,500,4.462788340555779,False,47,1.1694772243499756,3.34670772258497,0.9294744803310062
x.npy,z.npy,17,2,0,1000000,5878,5000000,5100000,15,voronoi,lin,False,47,4.462788340555779,False,47,0.8415203094482422,3.6031689985865643,0.9193711877535776
x.npy,z.npy,17,2,0,1000000,7017,5000000,5100000,15,uniform,lin,False,500,4.232960197528901,False,56,1.275822639465332,3.993581485448381,0.8986151143159709
x.npy,z.npy,17,2,0,1000000,7017,5000000,5100000,15,voronoi,lin,False,56,4.232960197528901,False,56,0.956695556640625,3.249261287351611,0.9345613413289712
