X,Y,tau,d,training_start,training_end,training_size,testing_start,testing_end,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,nonempty,time,rmse,pcc
x.npy,z.npy,17,3,0,1000000,1000,5000000,5100000,15,uniform,lin,False,500,7.57229176485005,False,43,1.4105958938598633,4.98984508660429,0.842965954774016
x.npy,z.npy,17,3,0,1000000,1000,5000000,5100000,15,voronoi,lin,False,43,7.57229176485005,False,43,1.0038442611694336,4.761833016664181,0.8467125725824108
x.npy,z.npy,17,3,0,1000000,1193,5000000,5100000,15,uniform,lin,False,500,7.182327997364613,False,56,1.3779079914093018,6.0744796534014585,0.7443633686698894
x.npy,z.npy,17,3,0,1000000,1193,5000000,5100000,15,voronoi,lin,False,56,7.182327997364613,False,56,1.026228904724121,5.23009692655239,0.8219006387764565
x.npy,z.npy,17,3,0,1000000,1425,5000000,5100000,15,uniform,lin,False,500,6.812446887108177,False,56,1.5492067337036133,5.82180824139563,0.7736161517692225
x.npy,z.npy,17,3,0,1000000,1425,5000000,5100000,15,voronoi,lin,False,56,6.812446887108177,False,56,1.0612223148345947,4.952785697078563,0.8429783813170124
x.npy,z.npy,17,3,0,1000000,1701,5000000,5100000,15,uniform,lin,False,500,6.461614201787876,False,54,1.3311359882354736,4.915710722429972,0.8431536369940738
x.npy,z.npy,17,3,0,1000000,1701,5000000,5100000,15,voronoi,lin,False,54,6.461614201787876,False,54,0.9974474906921387,4.53673902252621,0.8756812980163248
x.npy,z.npy,17,3,0,1000000,2030,5000000,5100000,15,uniform,lin,False,500,6.128848970809422,False,64,1.457423210144043,5.118192613928809,0.8250560805872125
x.npy,z.npy,17,3,0,1000000,2030,5000000,5100000,15,voronoi,lin,False,64,6.128848970809422,False,64,0.980759859085083,4.344593847533226,0.8801201314468783
x.npy,z.npy,17,3,0,1000000,2424,5000000,5100000,15,uniform,lin,False,500,5.813220742364712,False,76,1.3209137916564941,5.344326670447996,0.8209776403734491
x.npy,z.npy,17,3,0,1000000,2424,5000000,5100000,15,voronoi,lin,False,76,5.813220742364712,False,76,1.0239150524139404,4.370903835570419,0.8792863185224381
x.npy,z.npy,17,3,0,1000000,2894,5000000,5100000,15,uniform,lin,False,500,5.513846981776142,False,81,1.4888050556182861,4.586500659135279,0.8757189799930265
x.npy,z.npy,17,3,0,1000000,2894,5000000,5100000,15,voronoi,lin,False,81,5.513846981776142,False,81,0.9770219326019287,4.041147019140019,0.8941487013383079
x.npy,z.npy,17,3,0,1000000,3455,5000000,5100000,15,uniform,lin,False,500,5.22989060382295,False,101,1.3931949138641357,6.134930655246779,0.7724054183624772
x.npy,z.npy,17,3,0,1000000,3455,5000000,5100000,15,voronoi,lin,False,101,5.22989060382295,False,101,1.0408096313476562,4.185005830072018,0.8866847825834308
x.npy,z.npy,17,3,0,1000000,4124,5000000,5100000,15,uniform,lin,False,500,4.960557632149761,False,102,1.4311778545379639,4.90511395994615,0.8455518553602274
x.npy,z.npy,17,3,0,1000000,4124,5000000,5100000,15,voronoi,lin,False,102,4.960557632149761,False,102,0.9551846981048584,3.9077473418209876,0.9027117215996279
x.npy,z.npy,17,3,0,1000000,4923,5000000,5100000,15,uniform,lin,False,500,4.70509497921274,False,119,1.3272404670715332,8.084601459701972,0.6988564117818185
x.npy,z.npy,17,3,0,1000000,4923,5000000,5100000,15,voronoi,lin,False,119,4.70509497921274,False,119,1.0331592559814453,3.8876654118034755,0.9041918684305864
x.npy,z.npy,17,3,0,1000000,5878,5000000,5100000,15,uniform,lin,False,500,4.462788340555779,False,131,1.5270054340362549,5.607679071803573,0.8132179006869016
x.npy,z.npy,17,3,0,1000000,5878,5000000,5100000,15,voronoi,lin,False,131,4.462788340555779,False,131,0.9308629035949707,3.3691443193519186,0.9304608012980147
x.npy,z.npy,17,3,0,1000000,7017,5000000,5100000,15,uniform,lin,False,500,4.232960197528901,False,139,1.560105562210083,4.092900998991973,0.8900012155778634
x.npy,z.npy,17,3,0,1000000,7017,5000000,5100000,15,voronoi,lin,False,139,4.232960197528901,False,139,0.96055006980896,3.559352664832926,0.9201952803175075
x.npy,z.npy,17,3,0,1000000,8376,5000000,5100000,15,uniform,lin,False,500,4.014967922864224,False,160,1.4939305782318115,4.971981938074975,0.8509952080145678
