X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,nonempty,time,rmse,pcc
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,100,15000000,1000000,10000,15,voronoi,none,False,22,15.05687009663611,False,22,2.337712049484253,8.87263026761934,0.6097762412241259
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,143,15000000,1000000,10000,15,voronoi,none,False,27,13.508339336531005,False,27,6.034071683883667,10.289036528285797,0.5564756985611021
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,206,15000000,1000000,10000,15,voronoi,none,False,33,12.119067937740798,False,33,2.0958831310272217,8.183247669250258,0.6206843415062822
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,297,15000000,1000000,10000,15,voronoi,none,False,40,10.87267679768654,False,40,1.9970872402191162,6.438662071898162,0.7516409424130156
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,428,15000000,1000000,10000,15,voronoi,none,False,48,9.754471330159777,False,48,2.1273767948150635,7.086574539313991,0.719420917065962
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,615,15000000,1000000,10000,15,voronoi,none,False,58,8.75126822045835,False,58,2.21833872795105,6.383703084930975,0.7707979404073375
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,885,15000000,1000000,10000,15,voronoi,none,False,70,7.851239997970227,False,70,2.251293420791626,5.897326023618041,0.8062641914090318
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,1274,15000000,1000000,10000,15,voronoi,none,False,85,7.043775593761766,False,85,2.3498435020446777,5.023225562451423,0.8457284003222006
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,1832,15000000,1000000,10000,15,voronoi,none,False,103,6.319355239185249,False,103,2.198863983154297,4.904047802523502,0.8525148565611117
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,2636,15000000,1000000,10000,15,voronoi,none,False,124,5.6694382305968585,False,124,2.149184465408325,4.35849593939959,0.8888928546336019
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,3792,15000000,1000000,10000,15,voronoi,none,False,150,5.086362236964125,False,150,2.225792407989502,4.027172514153238,0.8956798732569518
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,5455,15000000,1000000,10000,15,voronoi,none,False,181,4.563252963228967,False,181,2.216259479522705,3.6425870731744596,0.9212596831906962
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,7847,15000000,1000000,10000,15,voronoi,none,False,219,4.093943104383897,False,219,2.2251076698303223,3.4040453556857373,0.9286849513483828
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,11288,15000000,1000000,10000,15,voronoi,none,False,265,3.6728996347537115,False,265,2.1708502769470215,3.1248609401147935,0.9376668792122484
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,16237,15000000,1000000,10000,15,voronoi,none,False,320,3.295158575244565,False,320,2.2342827320098877,3.0825047532026533,0.9407354739834903
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,23357,15000000,1000000,10000,15,voronoi,none,False,386,2.9562664694854583,False,386,2.3832457065582275,2.7395138305927555,0.9538198318788591
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,33598,15000000,1000000,10000,15,voronoi,none,False,466,2.6522278788829987,False,466,2.310062885284424,2.4123627490981967,0.9636517708392964
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,48329,15000000,1000000,10000,15,voronoi,none,False,562,2.379458277571489,False,562,2.302917718887329,2.2898626864260354,0.9667983750558937
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,69519,15000000,1000000,10000,15,voronoi,none,False,679,2.1347417919036364,False,679,2.375542163848877,2.037702871712034,0.9741861481048277
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,100000,15000000,1000000,10000,15,voronoi,none,False,820,1.9151932862428738,False,820,2.3688313961029053,1.9068312003937498,0.9773240922147695
x_ts0.1.npy,z_ts0.1.npy,1,17,3,0,1000000,100,1500000,100000,10000,15,voronoi,none,False,22,15.05687009663611,False,22,0.6496965885162354,12.56903223146086,0.41697673217425774
x_ts0.1.npy,z_ts0.1.npy,1,17,3,0,1000000,143,1500000,100000,10000,15,voronoi,none,False,27,13.508339336531005,False,27,0.3219413757324219,9.306734879962267,0.5441489237440671
x_ts0.1.npy,z_ts0.1.npy,1,17,3,0,1000000,206,1500000,100000,10000,15,voronoi,none,False,33,12.119067937740798,False,33,0.3148841857910156,10.414957074390243,0.44375401656486757
x_ts0.1.npy,z_ts0.1.npy,1,17,3,0,1000000,297,1500000,100000,10000,15,voronoi,none,False,40,10.87267679768654,False,40,0.32857203483581543,9.324047574077257,0.42340709563507917
x_ts0.1.npy,z_ts0.1.npy,1,17,3,0,1000000,428,1500000,100000,10000,15,voronoi,none,False,48,9.754471330159777,False,48,0.3184053897857666,8.783130752132124,0.4736110007574419
x_ts0.1.npy,z_ts0.1.npy,1,17,3,0,1000000,615,1500000,100000,10000,15,voronoi,none,False,58,8.75126822045835,False,58,0.35807371139526367,8.284809853779795,0.5446315554582516
x_ts0.1.npy,z_ts0.1.npy,1,17,3,0,1000000,885,1500000,100000,10000,15,voronoi,none,False,70,7.851239997970227,False,70,0.32393336296081543,8.134769400017047,0.5376482033834418
x_ts0.1.npy,z_ts0.1.npy,1,17,3,0,1000000,1274,1500000,100000,10000,15,voronoi,none,False,85,7.043775593761766,False,85,0.3196682929992676,7.596150953162912,0.5838302179069701
x_ts0.1.npy,z_ts0.1.npy,1,17,3,0,1000000,1832,1500000,100000,10000,15,voronoi,none,False,103,6.319355239185249,False,103,0.3618743419647217,7.382812410951649,0.6254521417000403
x_ts0.1.npy,z_ts0.1.npy,1,17,3,0,1000000,2636,1500000,100000,10000,15,voronoi,none,False,124,5.6694382305968585,False,124,0.36508822441101074,7.043824721569339,0.6454243777282178
