X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,nonempty,time,rmse,pcc
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1000,-1,1000,10000,-1,0.25,voronoi,none,False,800,7.57229176485005,False,800,0.12002277374267578,0.23996976231103573,0.836820535004118
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1000,-1,1000,10000,-1,0.25,voronoi,none,False,800,7.57229176485005,False,800,0.10083389282226562,0.2531740956006394,0.7429112789309233
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1000,-1,1000,10000,-1,0.25,voronoi,none,False,800,7.57229176485005,False,800,0.09851980209350586,0.2306968889946008,0.7572651929473376
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1125,-1,1125,10000,-1,0.25,voronoi,none,False,800,7.310031851298414,False,800,0.0827033519744873,0.23477388888892076,0.7546635663915718
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1125,-1,1125,10000,-1,0.25,voronoi,none,False,800,7.310031851298414,False,800,0.08264875411987305,0.247949897595654,0.7392018156759214
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1125,-1,1125,10000,-1,0.25,voronoi,none,False,800,7.310031851298414,False,800,0.08436942100524902,0.24292142984999746,0.8080310003889386
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1266,-1,1266,10000,-1,0.25,voronoi,none,False,800,7.056855087788008,False,800,0.06701278686523438,0.2114796081119931,0.8173415974708254
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1266,-1,1266,10000,-1,0.25,voronoi,none,False,800,7.056855087788008,False,800,0.0675971508026123,0.21297386160141388,0.7867706864702557
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1266,-1,1266,10000,-1,0.25,voronoi,none,False,800,7.056855087788008,False,800,0.06874227523803711,0.23198094747434075,0.8152969504255215
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1425,-1,1425,10000,-1,0.25,voronoi,none,False,800,6.812446887108177,False,800,0.058118343353271484,0.21772970005389966,0.8029781552880173
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1425,-1,1425,10000,-1,0.25,voronoi,none,False,800,6.812446887108177,False,800,0.05761885643005371,0.23016106969537892,0.7909424421331128
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1425,-1,1425,10000,-1,0.25,voronoi,none,False,800,6.812446887108177,False,800,0.05899453163146973,0.22685820804608128,0.7966762822680056
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1603,-1,1603,10000,-1,0.25,voronoi,none,False,800,6.576503557509929,False,800,0.05901956558227539,0.20346716108775162,0.8146008522767059
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1603,-1,1603,10000,-1,0.25,voronoi,none,False,800,6.576503557509929,False,800,0.06022214889526367,0.23339824643942458,0.7707556279481165
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1603,-1,1603,10000,-1,0.25,voronoi,none,False,800,6.576503557509929,False,800,0.05767107009887695,0.21188810648099196,0.8026112538126213
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,1804,-1,1804,10000,-1,0.25,voronoi,none,False,800,6.348731925350859,False,800,0.058255672454833984,0.1907060337665682,0.8361476132900977
